"File","Category","Title","HasSharedSession","HasSharedNav","HasSharedBridge","HasSessionEndCall","HasCustomBackBtn","HasCustomHomeBtn","HasCustomLoginForm","HasDirectIPCCall"
"about.html","C - Already patched","About - Bhāva Tech","True","True","True","False","False","False","False","False"
"achievements_section.html","A - Clean, safe to patch","(missing)","False","False","False","False","False","False","False","False"
"bcs-lite-v3.html","A - Clean, safe to patch","BCS Lite — Bhāva Cognitive Screen","False","False","False","False","False","False","False","False"
"bhaava-tech-form-v2.html","A - Clean, safe to patch","Bhaava Brain Quest","False","True","False","False","False","False","False","False"
"bhaavajaalam-chatbot.html","C - Already patched","Bhāvajālam — AI Assistant","True","True","True","False","False","False","False","False"
"bhava-chatbot.html","C - Already patched","Bhāva Tech — AI Assistant","True","True","True","False","False","False","False","False"
"bhava-game-intro-full.html","A - Clean, safe to patch","Bhāva Games — Play & Learn","False","False","False","False","False","False","False","False"
"bhava-math-grid.html","C - Already patched","Bhāva Math Grid - Enhanced","True","True","True","True","False","False","False","False"
"bhava-parent-report.html","A - Clean, safe to patch","Bhāva Tech — Cognitive Progress Report","False","False","False","False","False","False","False","False"
"bhava-setup.html","A - Clean, safe to patch","Bhāva Tech — Setup","False","False","False","False","False","False","False","False"
"bhava-student-import.html","A - Clean, safe to patch","Bhāva — Student Import","False","False","False","False","False","False","False","False"
"bhava-student-report.html","B - Custom/legacy code present","Bhāva Tech — Student Report","False","False","False","False","True","False","False","False"
"bhava-student-report_24.html","B - Custom/legacy code present","Bhāva Tech — Student Report","False","False","False","False","True","False","False","False"
"bhava-teacher-dashboard (3).html","A - Clean, safe to patch","Bhāva — Teacher Dashboard","False","False","False","False","False","False","False","False"
"Bhava_Tech_Likhwell.html","C - Already patched","Bhāva Tech Likh-well","True","True","True","True","True","True","False","False"
"brain-garden.html","A - Clean, safe to patch","Brain Garden","True","True","False","True","False","False","False","False"
"brain-quest.html","C - Already patched","Brain Quest","True","True","True","True","False","False","False","False"
"calm-zone.html","A - Clean, safe to patch","Calm Zone 🌊","True","True","False","True","False","False","False","False"
"career-adventure.html","A - Clean, safe to patch","Career Adventure — Bhāva Tech","False","False","False","False","False","False","False","False"
"certificate.html","A - Clean, safe to patch","Bhāva Tech Certificate","False","False","False","False","False","False","False","False"
"collaborate.html","C - Already patched","Partner With Bhāva Tech | Collaborate","True","True","True","False","False","False","False","False"
"day-hero-game.html","C - Already patched","Day Hero","True","True","True","True","False","False","False","False"
"day-super-hero.html","A - Clean, safe to patch","Day Super Hero","True","True","False","True","False","False","False","False"
"download-section.html","C - Already patched","BhāvaJālam App — Download Section Preview","True","True","True","False","False","False","False","False"
"empathy-conversation.html","A - Clean, safe to patch","Empathical Conversations","True","True","False","True","False","False","False","False"
"empathy-quest.html","C - Already patched","Empathy Quest","True","True","True","True","False","False","False","False"
"feedback.html","C - Already patched","Feedback & Suggestions — Bhāva Tech","True","True","True","False","False","False","False","False"
"finlife-india-quest-enhanced.html","C - Already patched","FinLife India Quest - Enhanced Edition","True","True","True","True","False","False","False","False"
"focus-under-distraction.html","C - Already patched","Focus Under Distraction V2","True","True","True","True","False","False","False","False"
"gamespark.html","C - Already patched","Bhāva Game Spark 2026 | 1st National Learn-with-Fun Game Challenge","True","True","True","False","False","False","False","False"
"Good-Habits.html","A - Clean, safe to patch","Good Habits","True","True","False","True","False","False","False","False"
"grammar-galaxy.html","A - Clean, safe to patch","Grammar Galaxy","True","True","False","True","False","False","False","False"
"grammar-pro.html","C - Already patched","Daily English","True","True","True","True","False","False","False","False"
"heart-heroes.html","C - Already patched","Heart Heroes","True","True","True","True","False","False","False","False"
"imaginia-quest.html","A - Clean, safe to patch","Imagina Quest","True","False","False","True","False","False","False","False"
"index.childfriendly.html","A - Clean, safe to patch","Bhāva Tech — Cognitive Enhancement & Assessment","False","False","False","False","False","False","False","False"
"index_19.html","A - Clean, safe to patch","Bhāva Tech — Cognitive Enhancement & Assessment","False","False","False","False","False","False","False","False"
"index_23.html","B - Custom/legacy code present","Bhāva Tech — Cognitive Enhancement & Assessment","False","False","True","False","False","False","True","False"
"index_24.html","B - Custom/legacy code present","Bhāva Tech — Cognitive Enhancement & Assessment","False","False","True","False","False","False","True","False"
"iq-test-level-3.html","C - Already patched","IQ Test Level 3","True","True","True","True","False","False","False","False"
"logic-game.html","C - Already patched","Logic King","True","True","True","True","False","False","False","False"
"logic-grid-puzzle.html","C - Already patched","Logic Grid","True","True","True","True","False","False","False","False"
"math-blitz.html","C - Already patched","Math Blitz","True","True","True","True","False","False","False","False"
"memory-match-puzzle.html","C - Already patched","Memory Match","True","True","True","True","False","False","False","False"
"memory-match-ultimate.html","C - Already patched","Memory Match","True","True","True","True","False","False","False","False"
"memory-zoo-puzzle.html","C - Already patched","Memory Zoo","True","True","True","True","False","False","False","False"
"mental-rotation-game.html","C - Already patched","Shape Spinner","True","True","True","True","False","False","False","False"
"mindscape-pro.html","C - Already patched","MindSpark IQ","True","True","True","True","False","False","False","False"
"mindspark-iq.html","C - Already patched","MindSpark IQ","True","True","True","True","False","False","False","False"
"nagarikx-enhanced.html","C - Already patched","NagarikX — Civic &amp; Legal Awareness Suite","True","True","True","True","False","False","False","False"
"neuro-ascend-iq.html","C - Already patched","Neuro Ascend IQ","True","True","True","True","False","False","False","False"
"neuroflash-memory.html","C - Already patched","Memory Match","True","True","True","True","False","False","False","False"
"neurospark.html","A - Clean, safe to patch","NeuroSpark — Brain Power Game","True","True","False","True","False","False","False","False"
"number-garden-quest.html","C - Already patched","Number Garden","True","True","True","True","False","False","False","False"
"percentile-game.html","C - Already patched","Percentile","True","True","True","True","False","False","False","False"
"planet-guardians.html","C - Already patched","Planet Guardians","True","True","True","True","False","False","False","False"
"ready-for-the-world.html","C - Already patched","Ready for the World - Discipline & Dignity","True","True","True","True","False","True","False","False"
"soccomm-enhanced.html","C - Already patched","Bhāva Tech: Life-Linguistics Simulator","True","True","True","True","False","False","False","False"
"student-form.html","A - Clean, safe to patch","Bhāva Tech — Student Enrollment","False","True","False","False","False","False","False","False"
"take-test.html","C - Already patched","Bhāva Tech — Brain Power Test","True","True","True","True","False","False","False","False"
"telugu-script-game.html","C - Already patched","Telugu Script Game","True","True","True","True","False","False","False","False"
"visual-difference-detector.html","C - Already patched","Focus Flow","True","True","True","True","False","False","False","False"
